GeneID	dN	dS	dNdS
BLGH_00804	0	0	NA
BLGH_00805	0.001	0.002	0.5
BLGH_00806	0	0.003	0
BLGH_00807	0	0.004	0
BLGH_00808	0.001	0	Inf
BLGH_00809	0.001	0.004	0.25
BLGH_00810	0	0.008	0
BLGH_00811	0.002	0	Inf
BLGH_00812	0.001	0.003	0.3333
BLGH_00813	0	0.006	0
BLGH_00814	0	0.009	0
BLGH_00815	0.002	0.004	0.5
BLGH_00816	0.002	0.006	0.3333
BLGH_00817	0	0.004	0
BLGH_00818	0	0.006	0
BLGH_00819	0.001	0.002	0.5
BLGH_00820	0	0	NA
BLGH_00821	0	0	NA
BLGH_00822	0	0	NA
BLGH_00823	0.003	0	Inf
BLGH_00826	0.001	0.001	1
BLGH_00827	0.006	0.011	0.5455
BLGH_00828	0.003	0.003	1
BLGH_00829	0.001	0.003	0.3333
BLGH_00830	0	0.006	0
BLGH_00831	0.001	0.002	0.5
BLGH_00832	0.01	0	Inf
BLGH_00833	0.001	0.011	0.0909
BLGH_00834	0	0.001	0
BLGH_00835	0.002	0.002	1
BLGH_00836	0.032	0.042	0.7619
BLGH_00837	0.01	0.005	2
BLGH_00838	0.004	0.01	0.4
BLGH_00839	0.002	0	Inf
BLGH_00840	0	0	NA
BLGH_00841	0	0	NA
BLGH_00842	0	0.001	0
BLGH_00843	0	0	NA
BLGH_00844	0.001	0.005	0.2
BLGH_00845	0.003	0	Inf
BLGH_00846	0	0.002	0
BLGH_00847	0.005	0.007	0.7143
BLGH_00848	0.004	0.003	1.3333
BLGH_00849	0.001	0.004	0.25
BLGH_00850	0.003	0	Inf
BLGH_00851	0.006	0	Inf
BLGH_00852	0	0	NA
BLGH_00853	0	0.009	0
BLGH_00855	0.001	0.002	0.5
BLGH_00856	0	0.005	0
BLGH_00858	0.002	0	Inf
BLGH_00859	0	0	NA
BLGH_00860	0	0	NA
BLGH_00861	0.003	0.01	0.3
BLGH_00862	0.006	0.024	0.25
BLGH_00863	0	0.002	0
BLGH_00864	0	0.01	0
BLGH_00865	0.001	0	Inf
BLGH_00866	0.003	0	Inf
BLGH_00867	0.004	0	Inf
BLGH_00868	0	0.006	0
BLGH_00869	0.001	0	Inf
BLGH_00870	0.008	0	Inf
BLGH_00871	0.004	0.005	0.8
BLGH_00872	0.002	0.009	0.2222
BLGH_00873	0.001	0	Inf
BLGH_00874	0	0	NA
BLGH_00875	0.001	0.004	0.25
BLGH_00876	0.001	0.006	0.1667
BLGH_00877	0.002	0.002	1
BLGH_00878	0.003	0	Inf
BLGH_00879	0	0.006	0
BLGH_00880	0.001	0.003	0.3333
BLGH_00881	0.001	0.005	0.2
BLGH_00882	0.018	0.087	0.2069
BLGH_00883	0	0	NA
BLGH_00884	0	0.009	0
BLGH_00885	0.001	0.004	0.25
BLGH_00886	0	0	NA
BLGH_00887	0	0	NA
BLGH_00888	0.002	0	Inf
BLGH_00889	0	0	NA
BLGH_00890	0	0	NA
BLGH_00891	0	0	NA
BLGH_00892	0.009	0	Inf
BLGH_00893	0.004	0	Inf
BLGH_00894	0.003	0	Inf
BLGH_00895	0.001	0.004	0.25
BLGH_00896	0	0	NA
BLGH_00897	0.003	0.002	1.5
BLGH_00898	0	0	NA
BLGH_00899	0	0	NA
BLGH_00900	0.005	0	Inf
BLGH_00901	0.001	0	Inf
BLGH_00902	0.001	0.002	0.5
BLGH_00903	0.003	0.012	0.25
BLGH_00904	0.001	0.005	0.2
BLGH_00905	0.001	0.003	0.3333
BLGH_00906	0.004	0	Inf
BLGH_00907	0.003	0	Inf
BLGH_00908	0.002	0.003	0.6667
BLGH_00910	0	0	NA
BLGH_00911	0	0.003	0
BLGH_00912	0	0	NA
BLGH_00913	0.001	0.002	0.5
BLGH_00914	0.001	0	Inf
BLGH_00915	0.001	0.003	0.3333
BLGH_00916	0.003	0	Inf
BLGH_00917	0	0.007	0
BLGH_00918	0.002	0.006	0.3333
BLGH_00919	0.026	0.01	2.6
BLGH_00920	0.018	0.013	1.3846
BLGH_00921	0.002	0.006	0.3333
BLGH_00922	0.002	0	Inf
BLGH_00923	0	0	NA
BLGH_00924	0	0.005	0
BLGH_00925	0.003	0.008	0.375
BLGH_00926	0	0	NA
BLGH_00927	0.002	0.005	0.4
BLGH_00928	0	0	NA
BLGH_00929	0	0	NA
BLGH_00930	0.001	0	Inf
BLGH_00931	0.018	0.044	0.4091
BLGH_00932	0.002	0.009	0.2222
BLGH_00933	0.004	0.004	1
BLGH_00934	0.004	0	Inf
BLGH_00935	0	0.002	0
BLGH_00936	0.001	0	Inf
BLGH_00937	0	0.008	0
BLGH_00938	0.003	0.002	1.5
BLGH_00939	0.002	0	Inf
BLGH_00940	0.009	0	Inf
BLGH_00941	0.002	0	Inf
BLGH_00942	0	0.004	0
BLGH_00943	0	0.006	0
BLGH_00944	0.001	0.002	0.5
BLGH_00945	0	0	NA
BLGH_00946	0.003	0.012	0.25
BLGH_00947	0	0	NA
BLGH_00948	0.002	0.012	0.1667
BLGH_00949	0.001	0.002	0.5
BLGH_00950	0	0	NA
BLGH_00951	0.004	0.011	0.3636
BLGH_00952	0.001	0.008	0.125
BLGH_00953	0	0.003	0
BLGH_00954	0	0	NA
BLGH_00955	0	0.008	0
BLGH_00956	0.022	0.036	0.6111
BLGH_00958	0.011	0.036	0.3056
BLGH_00959	0	0.009	0
BLGH_00960	0	0.012	0
BLGH_00961	0.001	0.006	0.1667
BLGH_00962	0.003	0.003	1
BLGH_00963	0	0	NA
BLGH_00965	0.002	0.003	0.6667
BLGH_00966	0	0.009	0
BLGH_00967	0.001	0	Inf
BLGH_00968	0.002	0.011	0.1818
BLGH_00969	0	0	NA
BLGH_00970	0.002	0	Inf
BLGH_00971	0	0	NA
BLGH_00972	0	0.005	0
BLGH_00973	0.002	0.013	0.1538
BLGH_00974	0	0	NA
BLGH_00975	0	0	NA
BLGH_00976	0	0.012	0
BLGH_00977	0.001	0.007	0.1429
BLGH_00978	0.003	0.019	0.1579
BLGH_00979	0	0	NA
BLGH_00980	0	0	NA
BLGH_00981	0	0.002	0
BLGH_00982	0.017	0.032	0.5312
BLGH_00983	0.002	0.01	0.2
BLGH_00984	0	0.002	0
BLGH_00985	0.001	0.002	0.5
BLGH_00986	0.002	0.005	0.4
BLGH_00988	0	0	NA
BLGH_00989	0.001	0.002	0.5
BLGH_00990	0	0.009	0
BLGH_00991	0.003	0.018	0.1667
BLGH_00992	0	0.004	0
BLGH_00993	0	0.002	0
BLGH_00994	0.005	0	Inf
BLGH_00995	0	0	NA
BLGH_00996	0	0.008	0
BLGH_00997	0	0.004	0
BLGH_00998	0.003	0	Inf
BLGH_00999	0.002	0.013	0.1538
BLGH_01000	0.002	0.025	0.08
BLGH_01001	0	0	NA
BLGH_01002	0	0.003	0
BLGH_01003	0	0.011	0
BLGH_01004	0	0	NA
BLGH_01005	0	0.004	0
BLGH_01006	0	0	NA
BLGH_01007	0	0	NA
BLGH_01008	0.002	0.01	0.2
BLGH_01009	0	0.012	0
BLGH_01010	0	0	NA
BLGH_01011	0.003	0.024	0.125
BLGH_01012	0.002	0.005	0.4
BLGH_01013	0	0.018	0
BLGH_01014	0.004	0	Inf
BLGH_01015	0.032	0.008	4
BLGH_01016	0.005	0.019	0.2632
BLGH_01017	0	0.009	0
BLGH_01018	0.001	0	Inf
BLGH_01019	0	0.004	0
BLGH_01020	0.001	0.008	0.125
BLGH_01021	0.001	0.008	0.125
BLGH_01022	0.002	0.002	1
BLGH_01023	0	0.003	0
BLGH_01024	0.007	0.004	1.75
BLGH_01025	0	0.001	0
BLGH_01026	0	0	NA
BLGH_01027	0.001	0.009	0.1111
BLGH_01028	0.001	0.003	0.3333
BLGH_01029	0.017	0.024	0.7083
BLGH_01030	0	0.008	0
BLGH_01031	0.001	0.005	0.2
BLGH_01032	0	0.002	0
BLGH_01033	0	0	NA
BLGH_01034	0	0.006	0
BLGH_01035	0	0	NA
BLGH_01036	0	0.001	0
BLGH_01037	0.003	0.005	0.6
BLGH_01038	0	0	NA
BLGH_01039	0.001	0	Inf
BLGH_01040	0.001	0.007	0.1429
BLGH_01041	0	0.002	0
BLGH_01042	0.01	0	Inf
BLGH_01043	0	0	NA
BLGH_01044	0.002	0	Inf
BLGH_01045	0.002	0.004	0.5
BLGH_01046	0	0.003	0
BLGH_01047	0.004	0.014	0.2857
BLGH_01048	0.002	0.004	0.5
BLGH_01049	0	0.006	0
BLGH_01050	0.002	0.011	0.1818
BLGH_01051	0	0.016	0
BLGH_01052	0.006	0.013	0.4615
BLGH_01053	0.002	0	Inf
BLGH_01054	0.004	0.007	0.5714
BLGH_01055	0.001	0.006	0.1667
BLGH_01056	0.013	0.024	0.5417
BLGH_01057	0.01	0.018	0.5556
BLGH_01058	0.003	0.022	0.1364
BLGH_01059	0	0	NA
BLGH_01060	0.003	0.009	0.3333
BLGH_01061	0	0	NA
BLGH_01062	0.001	0.007	0.1429
BLGH_01063	0.003	0.007	0.4286
BLGH_01064	0	0.002	0
BLGH_01065	0.003	0.012	0.25
BLGH_01066	0.001	0	Inf
BLGH_01067	0	0.002	0
BLGH_01068	0	0.002	0
BLGH_01069	0.013	0.015	0.8667
BLGH_01070	0.001	0	Inf
BLGH_01071	0.002	0	Inf
BLGH_01072	0.032	0.034	0.9412
BLGH_01073	0.002	0.004	0.5
BLGH_01074	0	0.011	0
BLGH_01075	0	0.004	0
BLGH_01076	0.001	0	Inf
BLGH_01077	0.002	0	Inf
BLGH_01078	0.002	0.003	0.6667
BLGH_01079	0.001	0.006	0.1667
BLGH_01080	0.016	0.019	0.8421
BLGH_01081	0.002	0.012	0.1667
BLGH_01082	0.001	0.005	0.2
BLGH_01083	0	0	NA
BLGH_01084	0	0.01	0
BLGH_01085	0	0	NA
BLGH_01086	0	0.008	0
BLGH_01087	0	0.003	0
BLGH_01088	0.001	0.003	0.3333
BLGH_01089	0.005	0	Inf
BLGH_01090	0.001	0.003	0.3333
BLGH_01091	0	0.006	0
BLGH_01092	0	0.003	0
BLGH_01093	0	0	NA
BLGH_01094	0	0.003	0
BLGH_01095	0	0	NA
BLGH_01096	0.001	0.004	0.25
BLGH_01097	1.612	1.221	1.3202
BLGH_01098	0.001	0.003	0.3333
BLGH_01099	0	0	NA
BLGH_01100	0.001	0	Inf
BLGH_01101	0	0.003	0
BLGH_01102	0	0.007	0
BLGH_01103	0	0.005	0
BLGH_01104	0	0.008	0
BLGH_01105	0.001	0.009	0.1111
BLGH_01106	0	0.004	0
BLGH_01107	0.002	0	Inf
BLGH_01108	0.002	0.002	1
BLGH_01109	0	0.004	0
BLGH_01110	0	0.011	0
BLGH_01111	0.001	0.004	0.25
BLGH_01112	0	0.005	0
BLGH_01113	0	0	NA
BLGH_01114	0	0	NA
BLGH_01115	0.006	0	Inf
BLGH_01116	0.003	0	Inf
BLGH_01117	0	0	NA
BLGH_01118	0.003	0.009	0.3333
BLGH_01119	0.003	0	Inf
BLGH_01120	0.001	0.015	0.0667
BLGH_01121	0	0.003	0
BLGH_01122	0.001	0.001	1
BLGH_01123	0	0.008	0
BLGH_01124	0.002	0	Inf
BLGH_01125	0.006	0.014	0.4286
BLGH_01126	0.004	0	Inf
BLGH_01127	0	0.002	0
BLGH_01128	0.001	0.003	0.3333
BLGH_01130	0.008	0.005	1.6
BLGH_01132	0.012	0	Inf
BLGH_01133	0	0	NA
BLGH_01134	0	0.011	0
BLGH_01135	0	0.005	0
BLGH_01136	0	0.003	0
BLGH_01137	0	0	NA
BLGH_01138	0	0	NA
BLGH_01139	0.001	0.008	0.125
BLGH_01142	0.002	0	Inf
BLGH_01143	0	0.001	0
BLGH_01144	0	0	NA
BLGH_01145	0.001	0.003	0.3333
BLGH_01146	0.002	0	Inf
BLGH_01147	0.003	0.007	0.4286
BLGH_01148	0	0	NA
BLGH_01149	0	0.002	0
BLGH_01150	0.045	0.05	0.9
BLGH_01151	0	0	NA
BLGH_01152	0.001	0	Inf
BLGH_01153	0.007	0	Inf
BLGH_01154	0	0	NA
BLGH_01155	0.013	0.021	0.619
BLGH_01156	0	0	NA
BLGH_01157	0	0	NA
BLGH_01158	0.003	0	Inf
BLGH_01159	0	0.001	0
BLGH_01160	0.003	0.004	0.75
BLGH_01161	0.002	0.004	0.5
BLGH_01162	0	0.004	0
BLGH_01163	0.006	0.004	1.5
BLGH_01164	0.002	0	Inf
BLGH_01165	0	0.016	0
BLGH_01166	0.014	0.027	0.5185
BLGH_01167	0.002	0.016	0.125
BLGH_01168	0.001	0	Inf
BLGH_01169	0.036	0.079	0.4557
BLGH_01170	0.002	0	Inf
BLGH_01171	0	0.002	0
BLGH_01172	0.074	0.1	0.74
BLGH_01173	0	0	NA
BLGH_01174	0	0.002	0
BLGH_01175	0	0.007	0
BLGH_01176	0.002	0	Inf
BLGH_01177	0	0.004	0
BLGH_01178	0.003	0.007	0.4286
BLGH_01179	0.004	0	Inf
BLGH_01180	0	0.024	0
BLGH_01181	0.001	0	Inf
BLGH_01182	0	0	NA
BLGH_01183	0.015	0.021	0.7143
BLGH_01184	0.07	0.074	0.9459
BLGH_01185	0.002	0	Inf
BLGH_01186	0.041	0.058	0.7069
BLGH_01187	0.001	0.009	0.1111
BLGH_01188	0.036	0.098	0.3673
BLGH_01189	0.001	0.008	0.125
BLGH_01190	0.035	0.1	0.35
BLGH_01191	0.002	0.008	0.25
BLGH_01192	0.003	0.003	1
BLGH_01193	0.004	0.008	0.5
BLGH_01194	0.002	0.014	0.1429
BLGH_01195	0	0	NA
BLGH_01196	0	0	NA
BLGH_01197	0.001	0	Inf
BLGH_01198	0	0.002	0
BLGH_01199	0	0.016	0
BLGH_01200	0	0	NA
BLGH_01201	0	0	NA
BLGH_01202	0.002	0.01	0.2
BLGH_01203	0.001	0	Inf
BLGH_01204	0.002	0.002	1
BLGH_01205	0	0.003	0
BLGH_01206	0.002	0	Inf
BLGH_01207	0	0.007	0
BLGH_01208	0.003	0.006	0.5
BLGH_01209	0.002	0.004	0.5
BLGH_01210	0.002	0.005	0.4
BLGH_01211	0	0	NA
BLGH_01212	0.001	0	Inf
BLGH_01213	0.001	0.004	0.25
BLGH_01214	0.004	0.002	2
BLGH_01215	0	0	NA
BLGH_01216	0	0.002	0
BLGH_01217	0.007	0	Inf
BLGH_01218	0.001	0.025	0.04
BLGH_01219	0.004	0.017	0.2353
BLGH_01220	0.003	0.014	0.2143
BLGH_01221	0.01	0.006	1.6667
BLGH_01222	0.003	0.001	3
BLGH_01223	0.002	0.005	0.4
BLGH_01224	0	0.003	0
BLGH_01225	0.001	0.007	0.1429
BLGH_01226	0	0	NA
BLGH_01227	0	0.006	0
BLGH_01228	0	0.004	0
BLGH_01229	0.001	0	Inf
BLGH_01230	0	0	NA
BLGH_01231	0.001	0.001	1
BLGH_01232	0	0	NA
BLGH_01233	0.001	0.003	0.3333
BLGH_01234	0	0.014	0
BLGH_01235	0	0.059	0
BLGH_01236	0.001	0.005	0.2
BLGH_01237	0.092	0.07	1.3143
BLGH_01238	0	0.008	0
BLGH_01239	0	0.005	0
BLGH_01240	0.002	0	Inf
BLGH_01241	0	0.041	0
BLGH_01242	0	0.005	0
BLGH_01243	0	0.007	0
BLGH_01244	0.001	0.006	0.1667
BLGH_01245	0	0.009	0
BLGH_01246	0	0	NA
BLGH_01247	0.019	0.01	1.9
BLGH_01248	0	0	NA
BLGH_01249	0	0	NA
BLGH_01250	0.001	0.002	0.5
BLGH_01251	0	0.005	0
BLGH_01252	0.001	0	Inf
BLGH_01253	0.001	0.011	0.0909
BLGH_01254	0.008	0.012	0.6667
BLGH_01255	0	0	NA
BLGH_01256	0.005	0.01	0.5
BLGH_01257	0.12	0.066	1.8182
BLGH_01258	0.016	0.023	0.6957
BLGH_01259	0.098	0.049	2
BLGH_01260	0.002	0.024	0.0833
BLGH_01261	0.001	0	Inf
BLGH_01262	0	0.004	0
BLGH_01263	0	0.003	0
BLGH_01264	0.001	0.002	0.5
BLGH_01265	0	0.004	0
BLGH_01266	0.005	0.008	0.625
BLGH_01267	0.054	0.063	0.8571
BLGH_01268	0	0	NA
BLGH_01269	0.006	0.01	0.6
BLGH_01270	0.003	0.008	0.375
BLGH_01271	0	0	NA
BLGH_01272	0	0.004	0
BLGH_01273	0	0	NA
BLGH_01274	0.008	0.008	1
BLGH_01275	0.003	0.008	0.375
BLGH_01276	0	0	NA
BLGH_01277	0.005	0.029	0.1724
BLGH_01278	0.003	0	Inf
BLGH_01279	0.003	0.005	0.6
BLGH_01280	0.002	0	Inf
BLGH_01281	0.002	0.006	0.3333
BLGH_01282	0.001	0.002	0.5
BLGH_01283	0.003	0	Inf
BLGH_01284	0	0.004	0
BLGH_01285	0	0	NA
BLGH_01286	0.006	0	Inf
BLGH_01287	0.001	0.004	0.25
BLGH_01288	0.002	0.014	0.1429
BLGH_01289	0.001	0.01	0.1
BLGH_01290	0.001	0.007	0.1429
BLGH_01291	0.004	0.004	1
BLGH_01292	0.005	0	Inf
BLGH_01293	0.002	0.008	0.25
BLGH_01294	0	0.017	0
BLGH_01295	0	0	NA
BLGH_01296	0	0	NA
BLGH_01297	0	0	NA
BLGH_01298	0	0.004	0
BLGH_01299	0	0.003	0
BLGH_01300	0	0	NA
BLGH_01301	0	0	NA
BLGH_01302	0.001	0	Inf
BLGH_01303	0.005	0.015	0.3333
BLGH_01304	0	0.002	0
BLGH_01305	0	0.002	0
BLGH_01306	0.002	0.003	0.6667
BLGH_01307	0	0	NA
BLGH_01308	0.002	0	Inf
BLGH_01309	0	0	NA
BLGH_01310	0	0	NA
BLGH_01311	0	0	NA
BLGH_01312	0.001	0.001	1
BLGH_01313	0.01	0.009	1.1111
BLGH_01314	0	0.003	0
BLGH_01315	0	0	NA
BLGH_01316	0.001	0.004	0.25
BLGH_01317	0.001	0.005	0.2
BLGH_01318	0	0.002	0
BLGH_01319	0	0	NA
BLGH_01320	0.004	0.003	1.3333
BLGH_01321	0	0	NA
BLGH_01322	0	0.003	0
BLGH_01323	0	0.001	0
BLGH_01324	0.002	0.008	0.25
BLGH_01325	0.001	0.002	0.5
BLGH_01326	0	0.019	0
BLGH_01327	0	0.008	0
BLGH_01328	0	0.003	0
BLGH_01329	0.002	0.004	0.5
BLGH_01330	0.004	0.01	0.4
BLGH_01331	0.001	0.006	0.1667
BLGH_01332	0	0.003	0
BLGH_01333	0.002	0.002	1
BLGH_01334	0.001	0.01	0.1
BLGH_01335	0	0	NA
BLGH_01336	0	0.002	0
BLGH_01337	0.005	0.006	0.8333
BLGH_01338	0	0.004	0
BLGH_01339	0.001	0.006	0.1667
BLGH_01340	0	0.006	0
BLGH_01341	0	0	NA
BLGH_01342	0	0.019	0
BLGH_01343	0.15	0.07	2.1429
BLGH_01344	0.001	0.006	0.1667
BLGH_01345	0	0	NA
BLGH_01346	0	0	NA
BLGH_01347	0	0.002	0
BLGH_01348	0.002	0	Inf
BLGH_01349	0	0.004	0
BLGH_01350	0.001	0.002	0.5
BLGH_01351	0	0.003	0
BLGH_01352	0	0.008	0
BLGH_01353	0	0	NA
BLGH_01354	0.001	0.005	0.2
BLGH_01355	0.002	0	Inf
BLGH_01356	0.001	0.002	0.5
BLGH_01357	0.001	0	Inf
BLGH_01358	0.001	0.003	0.3333
BLGH_01359	0.001	0.002	0.5
BLGH_01360	0.003	0.014	0.2143
BLGH_01361	0.001	0.011	0.0909
BLGH_01362	0.001	0.001	1
BLGH_01363	0.021	0	Inf
BLGH_01364	0.005	0.01	0.5
BLGH_01365	0	0.007	0
BLGH_01366	0	0.005	0
BLGH_01367	0.02	0.023	0.8696
BLGH_01368	0	0	NA
BLGH_01369	0.002	0	Inf
BLGH_01370	0	0.018	0
BLGH_01371	0.015	0.018	0.8333
BLGH_01372	0	0.006	0
BLGH_01373	0.001	0.008	0.125
BLGH_01374	0	0	NA
BLGH_01375	0.002	0.003	0.6667
BLGH_01376	0	0	NA
BLGH_01377	0.001	0	Inf
BLGH_01378	0	0.007	0
BLGH_01379	0.002	0.002	1
BLGH_01380	0.074	0.046	1.6087
BLGH_01381	0	0.007	0
BLGH_01382	0.001	0.002	0.5
BLGH_01385	0.026	0.043	0.6047
BLGH_01388	0.001	0.006	0.1667
BLGH_01389	0	0.006	0
BLGH_01390	0	0.002	0
BLGH_01391	0	0.001	0
BLGH_01392	0.002	0.002	1
BLGH_01393	0	0.002	0
BLGH_01394	0	0	NA
BLGH_01395	0	0	NA
BLGH_01396	0.004	0.007	0.5714
BLGH_01397	0	0	NA
BLGH_01398	0.003	0	Inf
BLGH_01399	0.006	0.004	1.5
BLGH_01400	0	0	NA
BLGH_01401	0.015	0.02	0.75
BLGH_01402	0.001	0.002	0.5
BLGH_01403	0.009	0	Inf
BLGH_01404	0	0.005	0
BLGH_01405	0.002	0.011	0.1818
BLGH_01406	0	0.004	0
BLGH_01407	0	0	NA
BLGH_01408	0	0.003	0
BLGH_01409	0.003	0.002	1.5
BLGH_01410	0.005	0	Inf
BLGH_01411	0.001	0.003	0.3333
BLGH_01412	0.003	0.007	0.4286
BLGH_01413	0.004	0.006	0.6667
BLGH_01414	0	0.006	0
BLGH_01415	0.005	0	Inf
BLGH_01416	0	0	NA
BLGH_01417	0	0.003	0
BLGH_01418	0.001	0.003	0.3333
BLGH_01419	0	0	NA
BLGH_01420	0.001	0.016	0.0625
BLGH_01421	0.043	0.076	0.5658
BLGH_01422	0.002	0.002	1
BLGH_01423	0	0.003	0
BLGH_01424	0	0	NA
BLGH_01425	0.002	0	Inf
BLGH_01426	0.004	0.003	1.3333
BLGH_01427	0	0.008	0
BLGH_01428	0	0.005	0
BLGH_01429	0	0.003	0
BLGH_01430	0.002	0.002	1
BLGH_01431	0.007	0.012	0.5833
BLGH_01432	0.001	0.009	0.1111
BLGH_01433	0.005	0.016	0.3125
BLGH_01434	0	0	NA
BLGH_01435	0.007	0.007	1
BLGH_01436	0.012	0.016	0.75
BLGH_01437	0.007	0.004	1.75
BLGH_01438	0.001	0.012	0.0833
BLGH_01439	0.002	0.008	0.25
BLGH_01440	0	0	NA
BLGH_01441	0.004	0.009	0.4444
BLGH_01442	0.002	0.013	0.1538
BLGH_01443	0.002	0.005	0.4
BLGH_01444	0	0	NA
BLGH_01445	0	0	NA
BLGH_01446	0.001	0	Inf
BLGH_01447	0	0.007	0
BLGH_01448	1.25	3.46	0.3613
BLGH_01449	0	0.004	0
BLGH_01450	0	0.001	0
BLGH_01451	0.005	0	Inf
BLGH_01452	0.001	0.002	0.5
BLGH_01453	0	0	NA
BLGH_01454	0	0	NA
BLGH_01455	0	0.002	0
BLGH_01456	0	0.003	0
BLGH_01457	0.001	0.002	0.5
BLGH_01458	0.004	0.002	2
BLGH_01459	0.001	0	Inf
BLGH_01460	0.001	0.002	0.5
BLGH_01461	0.002	0.002	1
BLGH_01462	0	0	NA
BLGH_01463	0	0	NA
BLGH_01464	0.002	0	Inf
BLGH_01465	0	0	NA
BLGH_01466	0.002	0	Inf
BLGH_01467	0	0	NA
BLGH_01468	0	0.004	0
BLGH_01469	0.003	0	Inf
BLGH_01470	0.002	0	Inf
BLGH_01471	0	0	NA
BLGH_01472	0.001	0.006	0.1667
BLGH_01473	0	0	NA
BLGH_01474	0	0.002	0
BLGH_01475	0	0	NA
BLGH_01476	0.001	0.011	0.0909
BLGH_01477	0.004	0.004	1
BLGH_01478	0	0.006	0
BLGH_01479	0	0.002	0
BLGH_01480	0.002	0.007	0.2857
BLGH_01481	0	0.005	0
BLGH_01482	0	0	NA
BLGH_01483	0	0	NA
BLGH_01484	0	0.01	0
BLGH_01485	0	0.006	0
BLGH_01486	0	0.004	0
BLGH_01487	0.015	0.016	0.9375
BLGH_01488	0.008	0.011	0.7273
BLGH_01489	0	0.01	0
BLGH_01490	0.003	0.006	0.5
BLGH_01491	0.004	0.007	0.5714
BLGH_01492	0	0.005	0
BLGH_01493	0.022	0.029	0.7586
BLGH_01494	0	0	NA
BLGH_01495	0.005	0	Inf
BLGH_01496	0	0	NA
BLGH_01497	0.002	0.002	1
BLGH_01498	0	0	NA
BLGH_01499	0	0.004	0
BLGH_01500	0.001	0.003	0.3333
BLGH_01501	0.01	0.008	1.25
BLGH_01502	0.003	0	Inf
BLGH_01503	0.001	0.002	0.5
BLGH_01504	0.012	0.014	0.8571
BLGH_01505	0.015	0.029	0.5172
BLGH_01506	0	0.002	0
BLGH_01507	0.029	0.023	1.2609
BLGH_01508	2.97	2.116	1.4036
BLGH_01509	0.001	0.011	0.0909
BLGH_01510	0	0.005	0
BLGH_01511	0	0	NA
BLGH_01512	0	0	NA
BLGH_01513	0.002	0	Inf
BLGH_01514	0	0	NA
BLGH_01515	0	0	NA
BLGH_01516	0	0.01	0
BLGH_01517	0.006	0.013	0.4615
BLGH_01518	0.004	0.005	0.8
BLGH_01519	0.001	0.019	0.0526
BLGH_01520	0	0.014	0
BLGH_01521	0.002	0.007	0.2857
BLGH_01522	0.004	0	Inf
BLGH_01523	0	0.038	0
BLGH_01524	0.001	0.002	0.5
BLGH_01525	0.003	0	Inf
BLGH_01526	0	0	NA
BLGH_01527	0	0	NA
BLGH_01528	0	0.004	0
BLGH_01529	0.001	0.008	0.125
BLGH_01530	0.011	0	Inf
BLGH_01531	0.002	0.002	1
BLGH_01532	0	0.003	0
BLGH_01533	0.001	0.002	0.5
BLGH_01534	0.015	0	Inf
BLGH_01535	0	0.012	0
BLGH_01536	0.014	0.016	0.875
BLGH_01537	0	0	NA
BLGH_01538	0.24	0.168	1.4286
BLGH_01539	0.004	0.005	0.8
BLGH_01540	0.013	0	Inf
BLGH_01541	0	0	NA
BLGH_01542	0	0.005	0
BLGH_01543	0	0	NA
BLGH_01544	0.004	0.009	0.4444
BLGH_01545	0	0.002	0
BLGH_01546	0	0	NA
BLGH_01547	0.012	0	Inf
BLGH_01548	0.001	0	Inf
BLGH_01549	0.017	0	Inf
BLGH_01553	0.002	0.002	1
BLGH_01554	0.012	0.009	1.3333
BLGH_01555	0	0.002	0
BLGH_01556	0.009	0.021	0.4286
BLGH_01557	0	0	NA
BLGH_01558	0.004	0.005	0.8
BLGH_01559	0.001	0.01	0.1
BLGH_01560	0	0.006	0
BLGH_01561	0.001	0.007	0.1429
BLGH_01562	0	0.013	0
BLGH_01563	0.001	0.001	1
BLGH_01564	0.002	0	Inf
BLGH_01565	0	0	NA
BLGH_01567	0	0.004	0
BLGH_01568	0.027	0.025	1.08
BLGH_01569	0.007	0	Inf
BLGH_01570	0.016	0.018	0.8889
BLGH_01571	0.028	0.023	1.2174
BLGH_01572	0	0.001	0
BLGH_01573	0	0	NA
BLGH_01574	0	0.007	0
BLGH_01575	0.001	0.002	0.5
BLGH_01576	0.001	0	Inf
BLGH_01577	0.001	0.003	0.3333
BLGH_01578	0.048	0.046	1.0435
BLGH_01579	3.131	1.08	2.8991
BLGH_01580	0.001	0.006	0.1667
BLGH_01581	0	0.002	0
BLGH_01582	0.049	0.071	0.6901
BLGH_01583	0	0.005	0
BLGH_01584	0	0.023	0
BLGH_01585	0	0.016	0
BLGH_01586	0.013	0.014	0.9286
BLGH_01587	0	0.023	0
BLGH_01588	0	0.006	0
BLGH_01589	0.003	0.007	0.4286
BLGH_01590	0	0	NA
BLGH_01592	0	0.007	0
BLGH_01593	0.001	0.004	0.25
BLGH_01594	0.001	0.003	0.3333
BLGH_01595	0	0.008	0
BLGH_01596	0.002	0.002	1
BLGH_01597	0.004	0.003	1.3333
BLGH_01598	0	0.003	0
BLGH_01599	0.001	0.003	0.3333
BLGH_01600	0.027	0.014	1.9286
BLGH_01601	0.001	0	Inf
BLGH_01602	0	0.009	0
BLGH_01603	0.001	0.006	0.1667
BLGH_01604	0.002	0.002	1
BLGH_01605	0.001	0.003	0.3333
BLGH_01606	0	0.009	0
